Departure,Return,Departure station,Return station,Covered distance (m),Duration (sec.),Geocoded Departure Station,Geocoded Return Station
2024-09-01 14:44:33,2024-09-02 06:43:23,057 Saint-Guilhem,057 Saint-Guilhem,4345.0,57523,43.8573737,43.8573737
2024-09-01 14:44:20,2024-09-01 15:52:07,021 Port Marianne,021 Port Marianne,9199.0,4062,43.6059165,43.6059165
2024-09-01 14:40:04,2024-09-01 16:13:14,047 Place Viala,009 Observatoire,2450.0,5585,43.8823078,48.8295667
2024-09-01 14:37:35,2024-09-01 15:50:48,021 Port Marianne,021 Port Marianne,18259.0,4388,43.6059165,43.6059165
2024-09-01 14:27:20,2024-09-01 14:49:29,026 Renouvier,035 Malbosc,4815.0,1324,42.62099,44.3462912
2024-09-01 14:26:59,2024-09-01 23:36:16,010 Rondelet,010 Rondelet,6085.0,32954,48.532387,48.532387
2024-09-01 14:25:51,2024-09-01 14:43:00,042 Marie Caizergues,036 Occitanie,2973.0,1022,43.6201061,43.46674525
2024-09-01 14:21:12,2024-09-01 14:24:45,011 Plan Cabanes,009 Observatoire,888.0,208,43.608824,48.8295667
2024-09-01 14:13:46,2024-09-01 14:24:13,046 Père Soulas,019 Louis Blanc,1978.0,624,43.629507950000004,49.254858739999996
2024-09-01 14:12:37,2024-09-01 15:40:42,015 Les Aubes,015 Les Aubes,2338.0,5282,44.9765974,44.9765974
2024-09-01 14:11:42,2024-09-01 14:26:39,034 Vert Bois,036 Occitanie,2460.0,890,45.561860922767686,43.46674525
2024-09-01 14:11:30,2024-09-01 14:26:39,034 Vert Bois,036 Occitanie,2409.0,904,45.561860922767686,43.46674525
2024-09-01 14:03:17,2024-09-01 15:45:06,021 Port Marianne,030 Charles Flahault,9170.0,6105,43.6059165,43.6207037
2024-09-01 14:01:21,2024-09-01 14:01:51,013 Emile Combes,013 Emile Combes,0.0,25,48.0988877,48.0988877
2024-09-01 14:00:24,2024-09-01 14:00:54,013 Emile Combes,013 Emile Combes,0.0,26,48.0988877,48.0988877
2024-09-01 13:45:30,2024-09-01 13:59:19,034 Vert Bois,046 Père Soulas,2558.0,823,45.561860922767686,43.629507950000004
2024-09-01 13:37:52,2024-09-01 13:57:20,043 Sabines,026 Renouvier,3271.0,1164,21.1237455,42.62099
2024-09-01 13:35:12,2024-09-01 13:57:28,041 Euromédecine,019 Louis Blanc,5584.0,1331,43.6353103,49.254858739999996
2024-09-01 13:22:27,2024-09-01 14:22:45,046 Père Soulas,046 Père Soulas,7247.0,3614,43.629507950000004,43.629507950000004
2024-09-01 13:21:35,2024-09-01 14:34:01,046 Père Soulas,047 Place Viala,8433.0,4341,43.629507950000004,43.8823078
2024-09-01 13:19:59,2024-09-01 14:34:47,046 Père Soulas,047 Place Viala,9448.0,4484,43.629507950000004,43.8823078
2024-09-01 13:14:44,2024-09-01 13:23:59,057 Saint-Guilhem,007 Foch,649.0,551,43.8573737,46.715742
2024-09-01 13:14:01,2024-09-01 13:14:24,057 Saint-Guilhem,057 Saint-Guilhem,0.0,19,43.8573737,43.8573737
2024-09-01 13:10:58,2024-09-01 13:24:43,034 Vert Bois,013 Emile Combes,2817.0,820,45.561860922767686,48.0988877
2024-09-01 13:04:29,2024-09-01 13:59:35,021 Port Marianne,021 Port Marianne,8366.0,3303,43.6059165,43.6059165
2024-09-01 13:02:47,2024-09-01 13:10:25,039 Aiguelongue,005 Corum,1639.0,455,43.6331438,34.99256242424242
2024-09-01 12:59:44,2024-09-01 13:40:23,019 Louis Blanc,019 Louis Blanc,4369.0,2435,49.254858739999996,49.254858739999996
2024-09-01 12:54:59,2024-09-01 13:22:29,034 Vert Bois,007 Foch,4292.0,1646,45.561860922767686,46.715742
2024-09-01 12:53:39,2024-09-01 13:42:22,019 Louis Blanc,002 Comédie,3216.0,2918,49.254858739999996,43.60918635
2024-09-01 12:52:34,2024-09-01 13:22:08,034 Vert Bois,007 Foch,4371.0,1769,45.561860922767686,46.715742
2024-09-01 12:47:13,2024-09-01 15:09:31,021 Port Marianne,021 Port Marianne,21939.0,8536,43.6059165,43.6059165
2024-09-01 12:46:55,2024-09-01 18:36:32,020 Gambetta,011 Plan Cabanes,29841.0,20973,37.698757705322194,43.608824
2024-09-01 12:41:34,2024-09-01 13:30:59,010 Rondelet,009 Observatoire,2413.0,2959,48.532387,48.8295667
2024-09-01 12:40:22,2024-09-01 12:40:44,010 Rondelet,010 Rondelet,0.0,16,48.532387,48.532387
2024-09-01 12:33:21,2024-09-01 13:31:10,025 Nouveau Saint-Roch,009 Observatoire,12192.0,3464,43.1205741,48.8295667
2024-09-01 12:31:36,2024-09-01 12:41:53,039 Aiguelongue,005 Corum,1560.0,612,43.6331438,34.99256242424242
2024-09-01 12:13:44,2024-09-01 14:13:02,049 Tonnelles,009 Observatoire,6795.0,7153,45.3878932,48.8295667
2024-09-01 12:07:55,2024-09-01 16:12:20,029 Richter,029 Richter,22811.0,14661,43.12495056853164,43.12495056853164
2024-09-01 12:05:58,2024-09-01 12:06:21,044 Celleneuve,044 Celleneuve,0.0,18,43.6137045,43.6137045
2024-09-01 12:05:07,2024-09-01 12:05:29,044 Celleneuve,044 Celleneuve,0.0,18,43.6137045,43.6137045
2024-09-01 12:03:59,2024-09-01 12:29:01,039 Aiguelongue,021 Port Marianne,4835.0,1497,43.6331438,43.6059165
2024-09-01 12:00:45,2024-09-01 19:05:20,013 Emile Combes,013 Emile Combes,39874.0,25472,48.0988877,48.0988877
2024-09-01 12:00:02,2024-09-01 19:05:14,013 Emile Combes,013 Emile Combes,40249.0,25508,48.0988877,48.0988877
2024-09-01 11:59:27,2024-09-01 12:00:16,013 Emile Combes,013 Emile Combes,0.0,44,48.0988877,48.0988877
2024-09-01 11:51:26,2024-09-01 19:47:19,011 Plan Cabanes,047 Place Viala,29780.0,28549,43.608824,43.8823078
2024-09-01 11:46:36,2024-09-01 13:22:05,042 Marie Caizergues,042 Marie Caizergues,6172.0,5726,43.6201061,43.6201061
2024-09-01 11:44:31,2024-09-01 11:44:50,021 Port Marianne,021 Port Marianne,0.0,14,43.6059165,43.6059165
2024-09-01 11:43:28,2024-09-01 11:43:54,021 Port Marianne,021 Port Marianne,0.0,22,43.6059165,43.6059165
2024-09-01 11:42:50,2024-09-01 11:43:11,021 Port Marianne,021 Port Marianne,0.0,17,43.6059165,43.6059165
2024-09-01 11:42:12,2024-09-01 11:42:33,021 Port Marianne,021 Port Marianne,0.0,17,43.6059165,43.6059165
2024-09-01 11:40:50,2024-09-01 16:14:26,002 Comédie,021 Port Marianne,31967.0,16412,43.60918635,43.6059165
2024-09-01 11:40:16,2024-09-01 12:21:59,023 Les Arceaux,026 Renouvier,2969.0,2498,44.4849308,42.62099
2024-09-01 11:39:50,2024-09-01 11:41:26,021 Port Marianne,021 Port Marianne,83.0,92,43.6059165,43.6059165
2024-09-01 11:38:31,2024-09-01 11:39:06,021 Port Marianne,021 Port Marianne,6.0,31,43.6059165,43.6059165
2024-09-01 11:37:46,2024-09-01 16:01:20,021 Port Marianne,021 Port Marianne,24714.0,15811,43.6059165,43.6059165
2024-09-01 11:35:18,2024-09-01 11:43:57,030 Charles Flahault,011 Plan Cabanes,1298.0,515,43.6207037,43.608824
2024-09-01 11:35:13,2024-09-01 11:43:15,030 Charles Flahault,011 Plan Cabanes,1290.0,478,43.6207037,43.608824
2024-09-01 11:28:34,2024-09-01 16:50:17,026 Renouvier,026 Renouvier,19060.0,19299,42.62099,42.62099
2024-09-01 11:25:04,2024-09-01 16:50:16,026 Renouvier,026 Renouvier,17524.0,19510,42.62099,42.62099
2024-09-01 11:14:37,2024-09-01 11:23:48,034 Vert Bois,012 Boutonnet,2231.0,547,45.561860922767686,44.9782454
2024-09-01 11:11:04,2024-09-01 16:41:52,012 Boutonnet,012 Boutonnet,37319.0,19844,44.9782454,44.9782454
2024-09-01 11:02:53,2024-09-01 11:08:36,039 Aiguelongue,005 Corum,1600.0,339,43.6331438,34.99256242424242
2024-09-01 10:59:28,2024-09-01 11:11:32,015 Les Aubes,002 Comédie,2391.0,719,44.9765974,43.60918635
2024-09-01 10:52:10,2024-09-01 11:04:15,025 Nouveau Saint-Roch,033 Garcia Lorca,1943.0,722,43.1205741,-32.41872631836735
2024-09-01 10:48:35,2024-09-01 11:39:58,026 Renouvier,023 Les Arceaux,1651.0,3078,42.62099,44.4849308
2024-09-01 10:46:02,2024-09-01 11:52:28,014 Beaux-Arts,005 Corum,5329.0,3981,40.90263984580557,34.99256242424242
2024-09-01 10:42:30,2024-09-01 13:04:43,049 Tonnelles,049 Tonnelles,8149.0,8529,45.3878932,45.3878932
2024-09-01 10:41:36,2024-09-01 10:42:09,014 Beaux-Arts,014 Beaux-Arts,0.0,27,40.90263984580557,40.90263984580557
2024-09-01 10:39:42,2024-09-01 16:06:12,010 Rondelet,010 Rondelet,6371.0,19587,48.532387,48.532387
2024-09-01 10:34:25,2024-09-01 11:52:29,014 Beaux-Arts,005 Corum,5370.0,4676,40.90263984580557,34.99256242424242
2024-09-01 10:29:51,2024-09-01 10:33:21,005 Corum,014 Beaux-Arts,430.0,206,34.99256242424242,40.90263984580557
2024-09-01 10:28:54,2024-09-01 13:08:06,015 Les Aubes,015 Les Aubes,28030.0,9547,44.9765974,44.9765974
2024-09-01 10:28:20,2024-09-01 13:10:13,015 Les Aubes,015 Les Aubes,29029.0,9709,44.9765974,44.9765974
2024-09-01 10:27:32,2024-09-01 10:34:58,005 Corum,014 Beaux-Arts,451.0,442,34.99256242424242,40.90263984580557
2024-09-01 10:26:43,2024-09-01 10:29:27,005 Corum,005 Corum,2.0,157,34.99256242424242,34.99256242424242
2024-09-01 10:24:54,2024-09-01 14:52:20,021 Port Marianne,021 Port Marianne,24397.0,16042,43.6059165,43.6059165
