id_local,id_osm,code_com_d,ame_d,sens_d,local_d,statut_d,code_com_g,ame_g,sens_g,statut_g,date_maj
id_loc31312531,way/31312531,34172,AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2022-08-16
id_loc921797236,way/921797236,34172,AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2022-08-16
id_loc362808713,way/362808713,34172,AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2022-11-13
id_loc921797237,way/921797237,34172,AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2023-06-15
id_loc209352124,way/209352124,34095,AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE,BIDIRECTIONNEL,CHAUSSEE,EN SERVICE,34095,AUCUN,,EN SERVICE,2018-03-16
id_loc570348778,way/570348778,34095,AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE,BIDIRECTIONNEL,CHAUSSEE,EN SERVICE,34095,AUCUN,,EN SERVICE,2018-03-16
id_loc25882762,way/25882762,34129,AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34129,AUCUN,,EN SERVICE,2016-01-27
id_loc513643738,way/513643738,34129,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34129,AUTRE,UNIDIRECTIONNEL,EN SERVICE,2024-04-03
id_loc25882746,way/25882746,34129,AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34129,AUCUN,,EN SERVICE,2016-01-27
id_loc25885016,way/25885016,34129,AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34129,AUCUN,,EN SERVICE,2023-04-07
id_loc249857356,way/249857356,34129,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34129,AUTRE,UNIDIRECTIONNEL,EN SERVICE,2023-09-15
id_loc311154336,way/311154336,34129,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34129,AUTRE,UNIDIRECTIONNEL,EN SERVICE,2022-03-12
id_loc25882745,way/25882745,34129,AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34129,AUCUN,,EN SERVICE,2016-01-27
id_loc25885257,way/25885257,34129,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34129,AUCUN,,EN SERVICE,2019-12-30
id_loc1167625174,way/1167625174,34129,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34129,AUCUN,,EN SERVICE,2023-04-30
id_loc137218762,way/137218762,34129,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34129,AUCUN,,EN SERVICE,2012-03-16
id_loc922185594,way/922185594,34129,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34129,AUTRE,UNIDIRECTIONNEL,EN SERVICE,2023-04-30
id_loc375244814,way/375244814,34129,VOIE VERTE,BIDIRECTIONNEL,CHAUSSEE,EN SERVICE,34129,AUCUN,,EN SERVICE,2021-12-01
id_loc1201956145,way/1201956145,34172,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2023-08-25
id_loc22948513,way/22948513,34172,AUTRE,,,EN SERVICE,34172,BANDE CYCLABLE,UNIDIRECTIONNEL,EN SERVICE,2022-08-22
id_loc715095607,way/715095607,34172,AUTRE,,,EN SERVICE,34172,BANDE CYCLABLE,UNIDIRECTIONNEL,EN SERVICE,2022-08-22
id_loc362808690,way/362808690,34172,AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2022-11-13
id_loc1182343623,way/1182343623,34172,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2024-07-30
id_loc885711484,way/885711484,34172,AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2021-03-24
id_loc146465900,way/146465900,34129,VOIE VERTE,BIDIRECTIONNEL,CHAUSSEE,EN SERVICE,34129,AUCUN,,EN SERVICE,2021-03-25
id_loc253757735,way/253757735,34129,VOIE VERTE,BIDIRECTIONNEL,CHAUSSEE,EN SERVICE,34129,AUCUN,,EN SERVICE,2022-11-15
id_loc216094793,way/216094793,34129,VOIE VERTE,BIDIRECTIONNEL,CHAUSSEE,EN SERVICE,34129,AUCUN,,EN SERVICE,2024-06-30
id_loc509219028,way/509219028,34172,VOIE VERTE,BIDIRECTIONNEL,CHAUSSEE,EN SERVICE,34172,AUCUN,,EN SERVICE,2021-03-25
id_loc459155645,way/459155645,34129,PISTE CYCLABLE,UNIDIRECTIONNEL,TROTTOIR,EN SERVICE,34129,AUCUN,,EN SERVICE,2023-12-09
id_loc143025839,way/143025839,34129,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34129,AUCUN,,EN SERVICE,2023-12-09
id_loc459160570,way/459160570,34129,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34129,AUCUN,,EN SERVICE,2022-05-03
id_loc459160569,way/459160569,34129,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34129,AUCUN,,EN SERVICE,2022-05-03
id_loc459160567,way/459160567,34129,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34129,AUCUN,,EN SERVICE,2020-01-01
id_loc554829270,way/554829270,34129,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34129,AUCUN,,EN SERVICE,2022-05-03
id_loc514181737,way/514181737,34172,PISTE CYCLABLE,UNIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2022-05-03
id_loc551845107,way/551845107,34172,VOIE VERTE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2020-06-27
id_loc551845106,way/551845106,34172,VOIE VERTE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2020-06-27
id_loc469643791,way/469643791,34172,VOIE VERTE,BIDIRECTIONNEL,CHAUSSEE,EN SERVICE,34172,AUCUN,,EN SERVICE,2024-01-27
id_loc603148586,way/603148586,34172,AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2021-08-08
id_loc514181733,way/514181733,34172,PISTE CYCLABLE,UNIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2022-03-26
id_loc402889929,way/402889929,34172,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2020-03-06
id_loc402889928,way/402889928,34172,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2022-11-04
id_loc676300612,way/676300612,34172,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2022-11-04
id_loc290762953,way/290762953,34172,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2020-03-06
id_loc446258771,way/446258771,34172,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUTRE,UNIDIRECTIONNEL,EN SERVICE,2022-11-04
id_loc402889931,way/402889931,34172,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUTRE,UNIDIRECTIONNEL,EN SERVICE,2021-03-24
id_loc926173334,way/926173334,34172,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2021-04-05
